,name,email,password,gender,mobile,tag
0,Steven Morales,richardvega@hansen.com,0s0wQFSO,Female,001-331-110-9650x7282,"['Parking', 'Public Traffic', 'Dogs Ok', 'Cats OK']"
1,Lori Brown,sreyes@gmail.com,0OuHDb1g,Female,299.214.2857x4394,"['No Smoking', 'Laundry', 'Public Traffic', 'Parking', 'Laundry']"
2,David Simpson MD,rebeccajohnson@hotmail.com,plLHy0Mv,Male,479.673.9661,"['Quiet', 'No Smoking', 'Dogs Ok']"
3,Derrick Ware,elizabeth69@khan-davis.com,KiDRt8MN,Female,+1-829-534-1866,['No Smoking']
4,David Johnson,lsmith@gmail.com,BeksbqKB,Male,(778)333-8438x1834,"['Dogs Ok', 'No Pets', 'Parking', 'Dogs Ok']"
5,Elizabeth Melton,xcampbell@fox-jones.info,jXQl4rQ6,Female,+1-995-282-7892,['Parking']
6,Gerald Gomez,mcoffey@yahoo.com,4doM9ElT,Male,656.904.2149x67845,"['Laundry', 'No Pets', 'Furnished']"
7,Terry Miller,erin95@payne.com,1qQhdNw4,Male,122-492-5904x86927,"['No Pets', 'Wheelchair Access', 'No Pets']"
8,Christopher Ward,leahmartin@gmail.com,QTZhd37q,Male,(913)395-6883x806,"['Public Traffic', 'Laundry', 'Wheelchair Access', 'Wheelchair Access', 'Laundry', 'Parking']"
9,Natasha Hall,wgould@yahoo.com,7hyw8Yr4,Female,138-675-0982,['Laundry']
10,Micheal Moore,emilydavis@gardner-williams.com,cYqEv16S,Female,(701)648-3152,['Public Traffic']
11,Natasha Clark,grahamjustin@yahoo.com,a1UpgiAv,Female,452.086.5683x34090,"['Public Traffic', 'Dogs Ok', 'Quiet', 'Furnished']"
12,Michael Miller,chelseachapman@gmail.com,3AZzn6iP,Female,(893)218-4919x7114,"['Dogs Ok', 'Laundry']"
13,Douglas Stewart,alvarezryan@hernandez-griffin.com,FT6ozWqo,Female,508-786-1183,"['No Pets', 'Wheelchair Access', 'Wheelchair Access', 'Furnished', 'Public Traffic', 'Quiet']"
14,Patrick Shaffer,laurasmith@walker.org,MoS7qynP,Female,7806540546,"['No Pets', 'Cats OK', 'No Pets', 'No Pets', 'Cats OK']"
15,Melissa Jones,darrellholmes@holder-thomas.org,X4MI2kbP,Female,(449)692-9215,"['No Smoking', 'Wheelchair Access', 'Public Traffic']"
16,Sean Rodgers DVM,johnsondonald@gmail.com,JhfbG2Lt,Male,7642577296,"['No Pets', 'Public Traffic']"
17,Michael Parker,kelleymarcus@flores.com,tJHGmaRL,Male,858-175-8394x7098,"['Furnished', 'No Smoking', 'Wheelchair Access', 'Public Traffic', 'Furnished']"
18,Brandon Christensen,chunter@burke.com,NpsrBGIW,Male,333.561.9973,"['Cats OK', 'No Smoking', 'Dogs Ok', 'Parking', 'Public Traffic', 'No Pets']"
19,Joan Cabrera,brownbrooke@fisher.com,fezZB7RU,Female,666.572.9662x7417,"['Laundry', 'No Pets', 'Wheelchair Access']"
