name,email,password,gender,mobile,tag
Angela Jackson,iedwards@gmail.com,oInRuIfd,Female,348-736-9144x6620,"['Cats OK', 'Wheelchair Access', 'Parking', 'Public Traffic']"
Debra Nichols,dylan07@miller.com,nrhgAwVJ,Male,688.354.5466x9947,"['Quiet', 'Wheelchair Access']"
Dominique Lopez,uchapman@carroll-dodson.com,7EdeqROn,Male,438.905.6065x65228,"['Parking', 'Furnished', 'Parking', 'Furnished']"
Dale Roman,mroberts@hotmail.com,gI0XrnKe,Female,001-353-866-3486x746,"['Cats OK', 'Cats OK', 'No Smoking']"
Laura Barnes,kellytucker@shaw.biz,oC7HLYWY,Female,946-239-8372,"['Public Traffic', 'No Smoking']"
Jeremy Jones,lindanielsen@yahoo.com,9EX4bgho,Male,557-713-6915,"['Furnished', 'Dogs Ok']"
Sarah Clark,mkline@yahoo.com,lCE4DUfe,Female,(492)793-8053x8890,"['Furnished', 'No Smoking', 'Laundry', 'Wheelchair Access']"
Chelsea Bailey,randallbarton@hotmail.com,uiHFF3Hf,Male,130-135-4456x770,"['Public Traffic', 'No Pets', 'Furnished', 'No Pets', 'Dogs Ok', 'Furnished']"
Scott Johnson,gonzalezemily@gmail.com,FcuCYE5u,Female,001-753-285-5433x807,"['Furnished', 'Laundry', 'Furnished', 'Quiet', 'No Smoking']"
Becky Phillips,nbenitez@gmail.com,loSFhluw,Male,+1-571-625-5338x238,"['Parking', 'Furnished']"
Jason Parks,oruiz@willis.com,O8HERDua,Male,+1-353-227-5000x93049,"['Parking', 'No Smoking']"
Judith Butler,williamslaura@gmail.com,C8trLc8Y,Male,+1-892-615-0548x5480,"['Wheelchair Access', 'Wheelchair Access', 'Cats OK', 'Cats OK', 'Dogs Ok', 'No Pets']"
Paul Brown,bsanchez@gmail.com,97WqZYfx,Male,015.854.4029x28069,"['Public Traffic', 'No Smoking', 'Parking', 'Parking', 'Public Traffic', 'Quiet']"
Meghan Gomez,beckycurtis@gmail.com,IS7g5Acq,Male,+1-766-409-4151,['Quiet']
